1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
 São Paulo;Ponte Preta;Vice-campeão do Estadual 2017;;;;;;;;;;;Santos;4º colocado do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;São Paulo;4º colocado do Estadual 2017;;;;;;;;;;;Ponte Preta;Campeão do Troféu do Interior de 2018;;;;;;;;;;;;;;;;;;;;
;Ituano;Campeão do Troféu do Interior 2017;;;;;;;;;;;Guarani;Campeão da Série A2 do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;São Caetano;Campeão da Série A2 do Estadual 2017;;;;;;;;;;;Votuporanguense;Campeão da Copa Paulista 2018;;;;;;;;;;;;;;;;;;;;
;Inter de Limeira;Vice-campeão da Copa Paulista 2017;;;;;;;;;; Sergipe;Sergipe;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Sergipe;Confiança;Campeão do Estadual 2017;;;;;;;;;;;Itabaiana;Vice-campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
;Itabaiana;Vice-campeão do Estadual 2017;;;;;;;;;; Tocantins;Palmas;Campeão do Estadual 2018;;;;;;;;;;;;;;;;;;;;
 Tocantins;Interporto;Campeão do Estadual 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;;
Estado;Clube;Forma de classificação;Pos.;Clube;Pontos;Estado;Clube;Forma de classificação;Colocações finais;;;Estado;Clube;Forma de Entrada;Estado;Clube;Forma de classificação;Pos.;Clube;Pontos;Colocações finais;;;;;;;;;;;;;
 Acre;Atlético Acreano;Campeão do Estadual 2019;14º; Botafogo;9 640; Ceará;Fortaleza;Campeão da Copa do Nordeste 2019;Campeão;Palmeiras (4.º título);; Acre;Galvez;Campeão do Estadual 2020; Ceará;Ceará;Campeão da Copa do Nordeste 2020;10º; Cruzeiro;11 768;Campeão;Atlético Mineiro (2.º título);;;;;;;;;;;;
;Galvez;Vice-campeão do Estadual 2019;17º; Vitória;7 045; Mato Grosso;Cuiabá;Campeão da Copa Verde 2019;Vice-campeão;Grêmio;;;Atlético Acreano;Vice-campeão do Estadual 2020; Distrito Federal;Brasiliense;Campeão da Copa Verde 2020;20°; Sport;7 043;Vice-campeão;Athletico Paranaense;;;;;;;;;;;;
 Alagoas;CSA;Campeão do Estadual 2019;26º; Paraná;5 594; Paraná;Athletico Paranaense;Campeão da Copa do Brasil 2019;Estatísticas;;; Alagoas;CRB;Campeão do Estadual 2020; Minas Gerais;Atlético Mineiro;3º colocado do Campeonato Brasileiro 2020;21°; Goiás;7 027;Estatísticas;;;;;;;;;;;;;
;CRB;Vice-campeão do Estadual 2019;27º; Figueirense;5 178; Rio de Janeiro;Flamengo;Campeão da Copa Libertadores 2019;Melhor marcador;6 gols:;;;CSA;Vice-campeão do Estadual 2020; Paraná;Athletico Paranaense;9º colocado do Campeonato Brasileiro 2020;23°; Vitória;6 114;Melhor marcador;Hulk (Atlético Mineiro) – 8 gols;;;;;;;;;;;;
;Coruripe;3º colocado do Estadual 2019;28º; Paysandu;5 166; Rio Grande do Sul;Grêmio;4º colocado do Campeonato Brasileiro 2019;;Brenner (São Paulo);;;Murici;3º colocado do Estadual 2020; Rio de Janeiro;Flamengo;Campeão do Campeonato Brasileiro 2020;26°; Avaí;5 819;Maior goleada;São Paulo 9–1 4 de Julho;;;;;;;;;;;;
 Amapá;Santos-AP;Campeão do Estadual 2019;29º; Juventude;4 763;;Internacional;7º colocado do Campeonato Brasileiro 2019;;Léo Gamalho (CRB);; Amapá;Ypiranga-AP;Campeão do Estadual 2020;;Fluminense;5º colocado do Campeonato Brasileiro 2020;27°; Juventude;5 725;(diferença);;;;;;;;;;;;;
 Amazonas;Manaus;Campeão do Estadual 2019;34º; Santa Cruz;4 378; São Paulo;Palmeiras;3º colocado do Campeonato Brasileiro 2019;;Nenê (Fluminense);; Amazonas;Penarol;Campeão do Estadual 2020; Rio Grande do Sul;Grêmio;6º colocado do Campeonato Brasileiro 2020;28°; Cuiabá;5 679;;;;;;;;;;;;;;
;Fast Clube;Vice-campeão do Estadual 2019;36º; Criciúma;4 218;;Santos;Vice-campeão do Campeonato Brasileiro 2019;;Rodolfo (América Mineiro);;;Manaus;Vice-campeão do Estadual 2020;;Internacional;Vice-campeão do Campeonato Brasileiro 2020;29°; Paraná;5 175;;;;;;;;;;;;;;
 Bahia;Bahia;Campeão do Estadual 2019;38º; Oeste;3 920;;São Paulo;6º colocado do Campeonato Brasileiro 2019;Maiores goleadas;Brusque 5–1 Remo;; Bahia;Bahia;Campeão do Estadual 2020; Santa Catarina;Chapecoense;Campeão da Série B de 2020;32°; Figueirense;4 350;;;;;;;;;;;;;;
;Bahia de Feira;Vice-campeão do Estadual 2019;39º; Brasil de Pelotas;3 844;;Corinthians;8º colocado do Campeonato Brasileiro 2019;(diferença);Estádio Augusto Bauer, Brusque;;;Atlético de Alagoinhas;Vice-campeão do Estadual 2020; São Paulo;Palmeiras;Campeão da Copa Libertadores 2020 e da Copa do Brasil 2020;34°; Vila Nova;4 177;;;;;;;;;;;;;;
;Atlético de Alagoinhas;3º colocado do Estadual 2019;;;;;Red Bull Bragantino;Campeão da Série B de 2019;;20 de fevereiro, segunda fase;;;Juazeirense;3º colocado do Estadual 2020;;Santos;8º colocado do Campeonato Brasileiro 2020;;;;;;;;;;;;;;;;;
 Ceará;Ceará;Vice-campeão do Estadual 2019;;;;;;;;;; Ceará;Fortaleza;Campeão do Estadual 2020;;São Paulo;4º colocado do Campeonato Brasileiro 2020;;;;;;;;;;;;;;;;;
;Barbalha;Campe?o da primeira fase do Estadual 2019;;;;;;;;Ferroviária 6–2 Águia Negra;;;Guarany de Sobral;Campeão da primeira fase do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Caucaia;Campeão da Copa Fares Lopes de 2019;;;;;;;;Estádio da Fonte Luminosa, Araraquara;;;Ferroviário;Campeão da Copa Fares Lopes de 2020;;;;;;;;;;;;;;;;;;;;
 Distrito Federal;Gama;Campeão do Metropolitano 2019;;;;;;;;26 de fevereiro, segunda fase;; Distrito Federal;Gama;Campeão do Metropolitano 2020;;;;;;;;;;;;;;;;;;;;
;Brasiliense;Vice-campeão do Metropolitano 2019;;;;;;;;;;;Real Brasília;3º colocado do Metropolitano 2020;;;;;;;;;;;;;;;;;;;;
 Espírito Santo;Vitória-ES;Campeão do Estadual 2019;;;;;;;;Ceará 5–1 Brusque;; Espírito Santo;Rio Branco VN;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Goiás;Atlético Goianiense;Campeão do Estadual 2019;;;;;;;;;;;Rio Branco-ES;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Goiás;Vice-campeão do Estadual 2019;;;;;;;;;; Goiás;Atlético Goianiense;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Vila Nova;3º colocado do Estadual 2019;;;;;;;;;;;Goianésia;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Maranhão;Imperatriz;Campeão do Estadual 2019;;;;;;;;;;;Jaraguá;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Moto Club;Vice-campeão do Estadual 2019;;;;;;;;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Sampaio Corrêa;3º colocado do Estadual 2019;;;;;;;;;;;Moto Club;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Mato Grosso;Operário VG;Vice-campeão do Estadual 2019;;;;;;;;;;;Juventude Samas;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;União Rondonópolis;3º colocado do Estadual 2019;;;;;;;;;; Mato Grosso;Nova Mutum;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Luverdense;Campeão da Copa FMF de 2019;;;;;;;;;;;União Rondonópolis;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Mato Grosso do Sul;Águia Negra;Campeão do Estadual 2019;;;;;;;;;;;Luverdense;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Aquidauanense;Vice-campeão do Estadual 2019;;;;;;;;;; Mato Grosso do Sul;Águia Negra;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Minas Gerais;Cruzeiro;Campeão do Estadual 2019;;;;;;;;;; Minas Gerais;Tombense;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Atlético Mineiro;Vice-campeão do Estadual 2019;;;;;;;;;;;América Mineiro;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;América Mineiro;3º colocado do Estadual 2019;;;;;;;;;;;Caldense;4º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Boa Esporte;4º colocado do Estadual 2019;;;;;;;;;;;Uberlândia;Campeão do Troféu Inconfidência 2020[5][6];;;;;;;;;;;;;;;;;;;;
 Pará;Remo;Campeão do Estadual 2019;;;;;;;;;; Pará;Paysandu;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Independente-PA;Vice-campeão do Estadual 2019;;;;;;;;;;;Remo;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Bragantino-PA;3º colocado do Estadual 2019;;;;;;;;;;;Castanhal;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Paraíba;Botafogo-PB;Campeão do Estadual 2019;;;;;;;;;; Paraíba;Treze;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Campinense;Vice-campeão do Estadual 2019;;;;;;;;;;;Campinense;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Paraná;Toledo;Vice-campeão do Estadual 2019;;;;;;;;;; Paraná;Coritiba;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Coritiba;3º colocado do Estadual 2019;;;;;;;;;;;FC Cascavel;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Londrina;4º colocado do Estadual 2019;;;;;;;;;;;Cianorte;4º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Operário-PR;5º colocado do Estadual 2019;;;;;;;;;;;Operário-PR;5º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Pernambuco;Sport;Campeão do Estadual 2019;;;;;;;;;; Pernambuco;Salgueiro;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Náutico;Vice-campeão do Estadual 2019;;;;;;;;;;;Santa Cruz;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Afogados;3º colocado do Estadual 2019;;;;;;;;;;;Retrô;Melhor colocado da primeira fase do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Piauí;River-PI;Campeão do Estadual 2019;;;;;;;;;; Piauí;4 de Julho;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Altos;Vice-campeão do Estadual 2019;;;;;;;;;;;Picos;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Rio de Janeiro;Vasco da Gama;Vice-campeão do Estadual 2019;;;;;;;;;; Rio de Janeiro;Botafogo;5º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Bangu;3º colocado do Estadual 2019;;;;;;;;;;;Vasco da Gama;7º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Fluminense;4º colocado do Estadual 2019;;;;;;;;;;;Volta Redonda;Campeão da Taça Independência 2020;;;;;;;;;;;;;;;;;;;;
;Volta Redonda;5º colocado do Estadual 2019;;;;;;;;;;;Boavista-RJ;Campeão do Torneio Extra 2020;;;;;;;;;;;;;;;;;;;;
;Boavista-RJ[5];4º colocado da Copa Rio 2019;;;;;;;;;;;Madureira;Vice-Campeão do Torneio Extra 2020;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Norte;América de Natal;Campeão do Estadual 2019;;;;;;;;;; Rio Grande do Norte;ABC;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;ABC;Vice-campeão do Estadual 2019;;;;;;;;;;;América de Natal;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Sul;Caxias;3º colocado do Estadual 2019;;;;;;;;;; Rio Grande do Sul;Caxias;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;São Luiz;4º colocado do Estadual 2019;;;;;;;;;;;Esportivo;4º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Novo Hamburgo;5º colocado do Estadual 2019;;;;;;;;;;;Ypiranga de Erechim;5º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;São José-RS;Vice-campeão da Copa FGF 2019;;;;;;;;;;;Santa Cruz-RS;Campeão da Copa FGF 2020;;;;;;;;;;;;;;;;;;;;
 Rondônia;Vilhenense;Campeão do Estadual 2019;;;;;;;;;; Rondônia;Porto Velho;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Roraima;São Raimundo-RR;Campeão do Estadual 2019;;;;;;;;;; Roraima;São Raimundo-RR;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Santa Catarina;Avaí;Campeão do Estadual 2019;;;;;;;;;; Santa Catarina;Brusque;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Chapecoense;Vice-campeão do Estadual 2019;;;;;;;;;;;Criciúma;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Brusque;Campeão da Copa Santa Catarina de 2019;;;;;;;;;;;Joinville;Campeão da Copa Santa Catarina de 2020;;;;;;;;;;;;;;;;;;;;
 São Paulo;Novorizontino;6° colocado do Estadual 2019;;;;;;;;;; São Paulo;Corinthians;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Ferroviária;7º colocado do Estadual 2019;;;;;;;;;;;Mirassol;3º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Ponte Preta;Vice-campeão do Troféu do Interior de 2019;;;;;;;;;;;Ponte Preta;4º colocado do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Santo André;Campeão da Série A2 do Estadual 2019;;;;;;;;;;;Red Bull Bragantino;Campeão do Troféu do Interior de 2020;;;;;;;;;;;;;;;;;;;;
;XV de Piracicaba;Vice-campeão da Copa Paulista 2019;;;;;;;;;;;Marília;Vice-campeão da Copa Paulista 2020;;;;;;;;;;;;;;;;;;;;
 Sergipe;Freipaulistano;Campeão do Estadual 2019;;;;;;;;;; Sergipe;Confiança;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;Lagarto;Campeão da primeira fase do Estadual 2019;;;;;;;;;;;Sergipe;Vice-campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
 Tocantins;Palmas;Campeão do Estadual 2019;;;;;;;;;; Tocantins;Palmas;Campeão do Estadual 2020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;;;;;;;;;;;;2023;;;;;;;;;;;;;;;;;;;;;;
Estado;Clube;Forma de Entrada;Estado;Clube;Forma de classificação;Pos.;Clube;Pontos;Colocações finais;;;Estado;Clube;Forma de Entrada;Estado;Clube;Forma de classificação;Pos.;Clube;Pontos;Colocações finais;;;;;;;;;;;;;
 Acre;Rio Branco-AC;Campeão do Estadual 2021; Bahia;Bahia;Campeão da Copa do Nordeste 2021;6º; Santos;12 816;Campeão;Flamengo (4.º título);; Acre;Humaitá;Campeão do Estadual 2022; Ceará;Fortaleza;8.º colocado do Campeonato Brasileiro 2022;9.º; Santos;11 904;Campeão;São Paulo (1.º título);;;;;;;;;;;;
;Humaitá;Vice-campeão do Estadual 2021; Ceará;Fortaleza;4º colocado do Campeonato Brasileiro 2021;23°; Goiás;6 628;Vice-campeão;Corinthians;;;São Francisco-AC;Vice-campeão do Estadual 2022; Minas Gerais;Atlético Mineiro;7.º colocado do Campeonato Brasileiro 2022;12.º; América Mineiro;10 640;Vice-campeão;Flamengo;;;;;;;;;;;;
 Alagoas;CSA;Campeão do Estadual 2021; Minas Gerais;América Mineiro;8º colocado do Campeonato Brasileiro 2021;25°; Vitória;5 913;Estatísticas;;; Alagoas;CRB;Campeão do Estadual 2022;;Cruzeiro;Campeão da Série B 2022;14.º; Ceará;9 958;Estatísticas;;;;;;;;;;;;;
;CRB;Vice-campeão do Estadual 2021;;Atlético Mineiro;Campeão do Campeonato Brasileiro 2021 e da Copa do Brasil 2021;26°; Coritiba;5 858;Melhor marcador;5 gols:;;;ASA;Vice-campeão do Estadual 2022; Pará;Paysandu;Campeão da Copa Verde 2022;15.º; Bahia;9 189;Melhor marcador;5 gols:;;;;;;;;;;;;
;ASA;Vencedor da seletiva para a Copa do Brasil; Pará;Remo;Campeão da Copa Verde 2021;29°; Ponte Preta;5 200;;Germán Cano (Fluminense);;;CSA;Vencedor da seletiva para a Copa do Brasil; Paraná;Athletico Paranaense;6.º colocado do Campeonato Brasileiro 2022;21.º; Juventude;7 161;;Alef Manga (Coritiba);;;;;;;;;;;;
 Amapá;Trem;Campeão do Estadual 2021; Paraná;Athletico Paranaense;Campeão da Copa Sul-Americana 2021;33°; Paraná;4 046;;Giuliano (Corinthians);; Amapá;Trem;Campeão do Estadual 2022; Pernambuco;Sport;Vice-campeão da Copa do Nordeste 2022;24.º; Chapecoense;6 688;;Lorran (Nova Mutum);;;;;;;;;;;;
 Amazonas;Manaus;Campeão do Estadual 2021; Rio de Janeiro;Botafogo;Campeão da Série B 2021;35°; Guarani;3 865;Maior goleada;Sergipe 0–5 Cruzeiro;; Amazonas;Manaus;Campeão do Estadual 2022; Rio de Janeiro;Flamengo;Campeão da Copa Libertadores 2022 e da Copa do Brasil 2022;25.º; Avaí;6 159;;Pedro (Flamengo);;;;;;;;;;;;
;São Raimundo-AM;Vice-campeão do Estadual 2021;;Flamengo;Vice-campeão do Campeonato Brasileiro 2021;36°; Criciúma;3 858;(diferença);Estádio Batistão, Aracaju;;;Princesa do Solimões;Vice-campeão do Estadual 2022;;Fluminense;3.º colocado do Campeonato Brasileiro 2022;29.º; Vitória;4 932;;Tiquinho Soares (Botafogo);;;;;;;;;;;;
 Bahia;Atlético de Alagoinhas;Campeão do Estadual 2021;;Fluminense;7º colocado do Campeonato Brasileiro 2021;37°; Brasil de Pelotas;3 835;;23 de fevereiro, primeira fase;; Bahia;Atlético de Alagoinhas;Campeão do Estadual 2022; Rio Grande do Sul;Internacional;Vice-campeão do Campeonato Brasileiro 2022;31.º; Ponte Preta;4 687;Maiores goleadas;Botafogo 7–1 Brasiliense;;;;;;;;;;;;
;Bahia de Feira;Vice-campeão do Estadual 2021; São Paulo;Corinthians;5º colocado do Campeonato Brasileiro 2021;43°; Oeste;3 098;Premiações;;;;Jacuipense;Vice-campeão do Estadual 2022; São Paulo;Palmeiras;Campeão do Campeonato Brasileiro 2022;33.º; Criciúma[nota 2];4 128;(diferença);Estádio Kleber Andrade, Cariacica;;;;;;;;;;;;
;Juazeirense;3º colocado do Estadual 2021;;Palmeiras;Campeão da Copa Libertadores 2021;;;;Melhor jogador;De Arrascaeta (Flamengo);;;Bahia de Feira;3.º colocado do Estadual 2022;;Corinthians;4.º colocado do Campeonato Brasileiro 2022;;;;;15 de março, 2.ª fase;;;;;;;;;;;;
 Ceará;Ceará;Vice-campeão do Estadual 2021;;Red Bull Bragantino;6º colocado do Campeonato Brasileiro 2021;;;;Melhor goleiro;Cássio (Corinthians);; Ceará;Caucaia;Campeão da primeira fase do Estadual 2022;;São Paulo;9.º colocado do Campeonato Brasileiro 2022;;;;;;;;;;;;;;;;;
;Ferroviário;Campeão da primeira fase do Estadual 2021;;;;;;;;;;;Ferroviário;3.º colocado do Estadual 2022;;;;;;;;Flamengo 8–2 Maringá;;;;;;;;;;;;
;Icasa;Campeão da Copa Fares Lopes de 2021;;;;;;;;;;;Iguatu[nota 1];4.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Distrito Federal;Brasiliense;Campeão do Metropolitano 2021;;;;;;;;;; Distrito Federal;Brasiliense;Campeão do Metropolitano 2022;;;;;;;;;;;;;;;;;;;;
;Ceilândia;Vice-campeão do Metropolitano 2021;;;;;;;;;;;Ceilândia;Vice-campeão do Metropolitano 2022;;;;;;;;;;;;;;;;;;;;
 Espírito Santo;Real Noroeste;Campeão do Estadual 2021;;;;;;;;;; Espírito Santo;Real Noroeste;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Nova Venécia;Campeão da Copa Espírito Santo de 2021;;;;;;;;;;;Vitória-ES;Campeão da Copa Espírito Santo de 2022;;;;;;;;;;;;;;;;;;;;
 Goiás;Grêmio Anápolis;Campeão do Estadual 2021;;;;;;;;;; Goiás;Atlético Goianiense;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Vila Nova;Vice-campeão do Estadual 2021;;;;;;;;;;;Goiás;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Atlético Goianiense;3º colocado do Estadual 2021;;;;;;;;;;;Vila Nova;3.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Maranhão;Sampaio Corrêa;Campeão do Estadual 2021;;;;;;;;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Moto Club;Vice-campeão do Estadual 2021;;;;;;;;;;;Cordino;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Tuntum;Campeão da Copa FMF de 2021;;;;;;;;;;;Tuntum;Campeão da Copa FMF de 2022;;;;;;;;;;;;;;;;;;;;
 Mato Grosso;Cuiabá;Campeão do Estadual 2021;;;;;;;;;; Mato Grosso;Cuiabá;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Operário VG;Vice-campeão do Estadual 2021;;;;;;;;;;;União Rondonópolis;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;União Rondonópolis;Campeão da Copa FMF de 2021;;;;;;;;;;;Nova Mutum;Campeão da Copa FMF de 2022;;;;;;;;;;;;;;;;;;;;
 Mato Grosso do Sul;Costa Rica;Campeão do Estadual 2021;;;;;;;;;; Mato Grosso do Sul;Operário-MS;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Minas Gerais;Tombense;3º colocado do Estadual 2021;;;;;;;;;; Minas Gerais;Athletic;3.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Cruzeiro;4º colocado do Estadual 2021;;;;;;;;;;;Caldense;4.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Pouso Alegre;Campeão do Troféu Inconfidência;;;;;;;;;;;Democrata GV;Campeão do Troféu Inconfidência;;;;;;;;;;;;;;;;;;;;
;URT;Vice-campeão do Troféu Inconfidência;;;;;;;;;;;Tombense;Vice-campeão do Troféu Inconfidência;;;;;;;;;;;;;;;;;;;;
 Pará;Paysandu;Campeão do Estadual 2021;;;;;;;;;; Pará;Remo;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Tuna Luso;Vice-campeão do Estadual 2021;;;;;;;;;;;Tuna Luso;3.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Castanhal;4º colocado do Estadual 2021;;;;;;;;;;;Águia de Marabá;4.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Paraíba;Campinense;Campeão do Estadual 2021;;;;;;;;;; Paraíba;Campinense;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Sousa;Vice-campeão do Estadual 2021;;;;;;;;;;;Botafogo-PB;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Paraná;Londrina;Campeão do Estadual 2021;;;;;;;;;; Paraná;Coritiba;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;FC Cascavel;Vice-campeão do Estadual 2021;;;;;;;;;;;Maringá;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Operário-PR;3º colocado do Estadual 2021;;;;;;;;;;;Operário-PR;3.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Azuriz;5º colocado do Estadual 2021;;;;;;;;;;;Londrina;5.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Pernambuco;Náutico;Campeão do Estadual 2021;;;;;;;;;; Pernambuco;Náutico;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Sport;Vice-campeão do Estadual 2021;;;;;;;;;;;Retrô;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Salgueiro;3º colocado do Estadual 2021;;;;;;;;;;;Santa Cruz;3.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Piauí;Altos;Campeão do Estadual 2021;;;;;;;;;; Piauí;Fluminense-PI;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Fluminense-PI;Vice-campeão do Estadual 2021;;;;;;;;;;;Parnahyba;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Rio de Janeiro;Portuguesa-RJ;3º colocado do Estadual 2021;;;;;;;;;; Rio de Janeiro;Vasco da Gama;3.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Volta Redonda;4º colocado do Estadual 2021;;;;;;;;;;;Botafogo;4.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Vasco da Gama;Campeão da Taça Rio 2021;;;;;;;;;;;Nova Iguaçu;Campeão do Torneio Independência;;;;;;;;;;;;;;;;;;;;
;Nova Iguaçu;7º colocado do Estadual 2021;;;;;;;;;;;Resende;Vice-campeão do Torneio Independência;;;;;;;;;;;;;;;;;;;;
;Maricá;Vice-campeão da Copa Rio de 2021;;;;;;;;;;;Volta Redonda;Campeão da Copa Rio de 2022;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Norte;Globo;Campeão do Estadual 2021;;;;;;;;;; Rio Grande do Norte;ABC;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;ABC;Vice-campeão do Estadual 2021;;;;;;;;;;;América de Natal;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Sul;Grêmio;Campeão do Estadual 2021;;;;;;;;;; Rio Grande do Sul;Grêmio;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Internacional;Vice-campeão do Estadual 2021;;;;;;;;;;;Ypiranga de Erechim;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Juventude;3º colocado do Estadual 2021;;;;;;;;;;;Brasil de Pelotas;4.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Glória;Campeão da Copa FGF 2021;;;;;;;;;;;São Luiz;Campeão da Copa FGF 2022;;;;;;;;;;;;;;;;;;;;
 Rondônia;Porto Velho;Campeão do Estadual 2021;;;;;;;;;; Rondônia;Real Ariquemes;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Roraima;São Raimundo-RR;Campeão do Estadual 2021;;;;;;;;;; Roraima;São Raimundo-RR;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Santa Catarina;Avaí;Campeão do Estadual 2021;;;;;;;;;; Santa Catarina;Brusque;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Chapecoense;Vice-campeão do Estadual 2021;;;;;;;;;;;Camboriú;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Figueirense;Campeão da Copa Santa Catarina de 2021;;;;;;;;;;;Marcílio Dias;Campeão da Copa Santa Catarina de 2022;;;;;;;;;;;;;;;;;;;;
